Date,Open,High,Low,Close,Adj Close,Volume
2019-09-17,136.214142,136.214142,134.474182,135.946457,110.326118,3068127
2019-09-18,135.803055,136.042068,134.330780,135.965576,110.341621,2074846
2019-09-19,136.195023,138.652008,136.185471,136.682602,110.923508,3232035
2019-09-20,136.950287,137.504776,135.583176,135.640533,110.077835,5432296
2019-09-23,134.980881,135.965576,134.378586,135.822174,110.225243,1901523
2019-09-24,136.233276,136.606125,134.866150,135.449326,109.922661,3380254
2019-09-25,135.506699,137.313583,134.665390,136.864243,111.070930,2642928
2019-09-26,136.873810,137.552582,135.191208,137.237091,111.373520,2416051
2019-09-27,138.059280,138.709366,136.118546,136.940720,111.132988,2465213
2019-09-30,137.409180,140.124283,137.409180,139.024857,112.824356,4171866
2019-10-01,139.187378,140.869980,137.227539,137.342255,111.458847,3096997
2019-10-02,135.936905,136.013382,134.388138,135.458893,109.930412,3494477
2019-10-03,135.391968,135.822174,133.059280,135.774384,110.186455,3063525
2019-10-04,135.812622,136.768646,134.827911,136.701721,110.939011,2524626
2019-10-07,136.003830,136.424469,135.009567,135.066925,109.612305,2538119
2019-10-08,134.072662,134.292542,132.170166,132.294449,107.362358,3373768
2019-10-09,133.623322,134.158707,132.686417,133.527725,108.363220,2741357
2019-10-10,133.623322,135.544937,133.422562,134.923523,109.495941,2713010
2019-10-11,136.491394,138.145309,136.338425,136.481842,110.760582,3134653
2019-10-14,136.051620,136.166351,135.105164,135.793503,110.201965,2415737
2019-10-15,136.271515,137.399612,135.573608,136.711288,110.946793,3164673
2019-10-16,136.223709,136.663483,135.172089,135.860428,110.256302,5577900
2019-10-17,129.063095,130.019119,127.065010,128.355637,104.165848,16484751
2019-10-18,128.317398,128.575531,126.434036,128.193115,104.033943,7507665
2019-10-21,126.778206,127.246651,125.143402,126.749519,102.862411,6596181
2019-10-22,126.720840,128.154877,125.822182,128.068832,103.933090,4353034
2019-10-23,127.648186,128.652008,126.864243,128.470367,104.258949,3777001
2019-10-24,128.900574,129.130020,127.437859,128.173996,104.018425,2718031
2019-10-25,128.221802,129.952194,128.202682,129.483749,105.081352,2697739
2019-10-28,130.019119,130.621414,129.493301,129.990433,105.492538,3374501
2019-10-29,129.464630,129.608032,127.571701,127.934990,103.824463,4352092
2019-10-30,127.944550,129.330780,127.342255,129.302109,104.933937,2356638
2019-10-31,129.168259,129.302109,127.370934,127.848946,103.754654,3569057
2019-11-01,128.585083,129.598465,128.193115,129.569794,105.151184,3231931
2019-11-04,130.248566,131.682602,130.238998,131.615677,106.811508,3488828
2019-11-05,131.739960,132.657745,131.577438,131.826004,106.982162,3153690
2019-11-06,131.931168,132.676865,131.500961,132.676865,107.672676,4683256
2019-11-07,131.806885,133.021027,131.529633,131.634796,108.088730,4261195
2019-11-08,131.529633,131.558319,130.172089,131.558319,108.025955,2383206
2019-11-11,131.166351,131.166351,129.063095,129.512421,106.346024,2686128
2019-11-12,129.894836,130.650101,129.082214,129.627151,106.440231,3186639
2019-11-13,129.435944,129.617584,127.963669,128.565964,105.568848,3052646
2019-11-14,128.231354,128.422562,127.466537,128.107071,105.192039,4425940
2019-11-15,128.479919,129.177826,128.135757,128.489487,105.506065,3412575
2019-11-18,128.393875,128.565964,127.370934,128.403442,105.435402,3358078
2019-11-19,128.948380,129.426392,128.546844,128.604202,105.600258,3132770
2019-11-20,128.164429,128.546844,126.912048,127.342255,104.564026,4328557
2019-11-21,127.533463,128.269592,127.131927,127.954109,105.066460,3499184
2019-11-22,128.288712,128.728485,127.715103,128.432129,105.458954,3449185
2019-11-25,128.556412,130.019119,128.441681,129.990433,106.738518,2709245
2019-11-26,130.162521,130.162521,128.843216,129.149139,106.047714,3967687
2019-11-27,129.397705,129.741867,127.743790,127.887192,105.011482,3431821
2019-11-29,127.724663,128.604202,127.179733,128.537292,105.545296,1909264
2019-12-02,128.537292,128.585083,126.653923,127.065010,104.336365,3208187
2019-12-03,126.195030,126.615677,124.942642,126.309753,103.716232,3810055
2019-12-04,127.017204,127.801147,126.156792,126.185471,103.614166,3692380
2019-12-05,127.141495,127.380501,125.841301,126.108986,103.551369,3760788
2019-12-06,126.912048,128.001907,126.864243,127.361374,104.579720,3595625
2019-12-09,127.485657,128.671127,127.399620,128.030594,105.129250,3105051
2019-12-10,128.030594,128.910141,127.686424,128.021027,105.121399,3640498
2019-12-11,128.212234,128.594650,127.791588,127.877632,105.003647,4135152
2019-12-12,127.820267,129.694077,127.782028,129.369019,106.228256,5046009
2019-12-13,128.824097,129.541107,128.116638,128.307846,105.356911,2651610
2019-12-16,129.005737,129.493301,127.963669,128.231354,105.294090,3189463
2019-12-17,128.374756,128.766724,127.590820,128.317398,105.364746,3040931
2019-12-18,128.632889,129.063095,128.250473,128.499039,105.513893,3244483
2019-12-19,128.546844,128.804977,128.288712,128.642441,105.631645,4044359
2019-12-20,129.770554,130.420654,129.015289,129.627151,106.440231,7438943
2019-12-23,129.808792,130.162521,129.063095,129.588913,106.408821,2932147
2019-12-24,129.646271,129.655838,128.690247,129.043976,105.961349,1257397
2019-12-26,129.043976,129.359467,128.728485,128.977051,105.906403,2227666
2019-12-27,129.063095,129.780121,128.938812,129.321228,106.189026,2878801
2019-12-30,129.254303,129.349899,126.673042,126.969406,104.257874,4308369
2019-12-31,126.701721,128.221802,126.577438,128.145309,105.223450,3951265
2020-01-02,129.063095,129.942642,128.843216,129.464630,106.306763,3293436
2020-01-03,127.695984,128.929260,127.686424,128.432129,105.458954,2482890
2020-01-06,127.552582,128.336517,127.342255,128.202682,105.270561,2537073
2020-01-07,127.810707,129.024857,127.533463,128.288712,105.341187,3232977
2020-01-08,128.594650,129.885284,128.030594,129.359467,106.220398,4545916
2020-01-09,129.770554,130.774384,129.359467,130.726578,107.342995,3902208
2020-01-10,130.975143,131.806885,130.315491,130.678772,107.303719,3405148
2020-01-13,129.521988,130.630981,129.130020,130.592728,107.233086,3693426
2020-01-14,130.286804,131.108994,129.588913,129.847031,106.620750,3850326
2020-01-15,130.019119,131.988525,129.741867,130.611862,107.248810,4232011
2020-01-16,131.281067,132.112808,130.984711,131.912048,108.316429,4519661
2020-01-17,130.535370,132.246658,130.172089,132.227539,108.575470,5881972
2020-01-21,131.749527,133.221802,131.548752,133.049713,109.250565,7577329
2020-01-22,137.017212,139.378586,136.281067,137.562134,112.955841,17228038
2020-01-23,137.858505,138.059280,135.898666,136.587006,112.155144,5918059
2020-01-24,137.084137,137.590820,134.282990,134.378586,110.341751,5836889
2020-01-27,132.409180,133.910141,132.026764,132.523895,108.818802,4358264
2020-01-28,133.365204,134.292542,132.648178,133.412994,109.548874,3610374
2020-01-29,133.049713,133.441681,131.548752,131.634796,108.088730,3194275
2020-01-30,130.745697,130.946457,129.034424,130.755264,107.366547,5290563
2020-01-31,136.615677,137.715103,134.598465,137.409180,112.830238,19868352
2020-02-03,137.906311,140.803055,137.571701,139.837479,114.824173,9295488
2020-02-04,141.281067,142.810699,140.420654,142.552582,117.053635,5879566
2020-02-05,143.604202,150.516251,143.546844,149.455063,122.721436,15048593
2020-02-06,149.923523,151.768646,148.585083,149.866150,123.058975,8786923
2020-02-07,147.753342,148.699814,146.195023,146.663483,121.686745,6718876
2020-02-10,146.242828,147.648178,144.913956,147.638626,122.495827,5480831
2020-02-11,148.298279,148.393875,146.013382,146.730408,121.742256,4011515
2020-02-12,146.988525,148.757172,146.768646,148.479919,123.193817,4641939
2020-02-13,147.581268,148.021027,146.663483,147.523895,122.400620,3996452
2020-02-14,147.629059,147.762909,143.183563,144.072662,119.537132,6379763
2020-02-18,143.202682,144.722748,143.059280,144.455063,119.854424,3496778
2020-02-19,144.875717,145.210327,143.699814,144.225616,119.664001,2858613
2020-02-20,144.177826,144.952194,142.934998,144.569794,119.949593,3013003
2020-02-21,144.397705,144.397705,142.294449,143.250473,118.854965,3699597
2020-02-24,139.110901,141.539200,138.986618,139.990433,116.150108,5703210
2020-02-25,140.066925,140.602295,135.047806,135.478012,112.406136,6497229
2020-02-26,136.615677,137.724670,133.460800,133.604202,110.851448,5656663
2020-02-27,131.204590,132.590820,127.160614,127.256210,105.584503,8808471
2020-02-28,124.263863,125.325050,120.803062,124.426384,103.236610,13607832
2020-03-02,125.000000,128.527725,122.323135,128.393875,106.528442,8923844
2020-03-03,128.565964,130.114716,122.179733,123.231361,102.245094,8259321
2020-03-04,125.793503,128.374756,123.326958,128.317398,106.464989,5226234
2020-03-05,124.760994,126.472275,122.801147,123.852776,102.760696,5696725
2020-03-06,121.128105,122.686424,119.043976,122.112808,101.317017,8570192
2020-03-09,114.875717,117.026772,112.122368,112.629066,93.448380,11252345
2020-03-10,117.380501,119.388145,110.669212,119.282982,98.969124,11935592
2020-03-11,115.688339,117.189293,111.261948,112.782028,93.575264,8835039
2020-03-12,104.827919,104.971321,97.782028,98.288719,81.550186,13088284
2020-03-13,103.900574,104.359467,96.376671,103.202675,85.627274,13077197
2020-03-16,93.690247,102.686424,90.822182,94.722755,78.591499,11054128
2020-03-17,96.185471,102.676865,92.829826,101.959846,84.596107,9684182
2020-03-18,95.038239,102.227531,95.028679,98.996178,82.137161,9176035
2020-03-19,97.829826,99.130020,93.919693,95.927345,79.590950,8782739
2020-03-20,96.481834,96.548759,90.544930,91.195030,75.664543,11031639
2020-03-23,90.439774,93.441681,86.577438,90.602295,75.172745,10176952
2020-03-24,95.592735,101.376671,94.894836,100.841301,83.668053,8340699
2020-03-25,100.841301,107.533463,98.307838,101.195030,83.961548,9052084
2020-03-26,102.208412,108.173996,100.927345,107.925430,89.545746,7482561
2020-03-27,103.804970,106.596558,102.915871,103.279160,85.690758,6718458
2020-03-30,103.336517,108.470360,103.068832,107.963669,89.577499,5820467
2020-03-31,107.074570,108.804970,105.325050,106.051628,87.991066,6635092
2020-04-01,101.682602,105.086044,99.923515,100.516251,83.398354,6394093
2020-04-02,100.736137,105.468452,100.516251,105.162521,87.253380,6619820
2020-04-03,104.130020,105.229446,100.305923,101.663483,84.350235,4747585
2020-04-06,105.497131,110.544930,105.286804,109.770554,91.076668,7357773
2020-04-07,113.575523,114.311661,109.818359,109.885277,91.171852,5852684
2020-04-08,111.195030,114.684509,110.009560,114.043976,94.622314,5395896
2020-04-09,115.181641,117.514343,114.885277,116.156792,96.375336,5832705
2020-04-13,116.281075,116.443596,112.848946,115.822182,96.097717,5355206
2020-04-14,118.030594,119.674950,117.227531,118.460800,98.286980,5322780
2020-04-15,113.881454,114.904396,111.625237,113.470360,94.146378,5896616
2020-04-16,113.776291,114.483749,109.388145,110.640533,91.798477,6754650
2020-04-17,114.053535,115.095604,112.734222,114.837479,95.280693,5194436
2020-04-20,113.910133,117.456978,112.944550,115.114723,95.510704,8558058
2020-04-21,108.986618,111.998085,107.131927,111.625237,92.615486,15009054
2020-04-22,114.598473,115.038239,112.380501,114.063095,94.638184,7412479
2020-04-23,114.311661,117.619499,113.881454,116.013382,96.256340,7198154
2020-04-24,117.026772,119.502869,115.449333,119.235184,98.929459,5215251
2020-04-27,120.038239,121.405357,119.952202,120.382408,99.881317,5150295
2020-04-28,122.399620,122.562141,119.866158,120.717018,100.158974,4997893
2020-04-29,123.212234,123.623329,121.921608,123.030594,102.078522,5499450
2020-04-30,120.956024,121.673042,119.713196,120.038239,99.595757,6941047
2020-05-01,117.772469,118.040154,116.051628,116.510513,96.668800,5152073
2020-05-04,115.506691,116.606117,114.139580,116.328873,96.518097,4202723
2020-05-05,117.963669,118.852776,117.084129,117.189293,97.231987,4078772
2020-05-06,117.820267,118.594643,117.026772,117.753349,97.699989,4042372
2020-05-07,117.571701,117.839386,115.535370,115.898659,97.450790,4615580
2020-05-08,117.275337,117.810707,115.736137,117.581261,98.865578,5232615
2020-05-11,116.453156,118.021034,115.363289,117.198853,98.544014,3697924
2020-05-12,117.600380,118.852776,114.971321,114.971321,96.671066,5004587
2020-05-13,114.674950,114.713196,109.799232,110.640533,93.029610,6153409
2020-05-14,109.531548,111.940727,106.892921,111.806885,94.010315,5501332
2020-05-15,110.831741,112.227531,110.181641,111.835564,94.034416,5006470
2020-05-18,114.608032,116.978966,114.483749,116.214149,97.716064,4399162
2020-05-19,115.860420,116.797325,114.856598,115.000000,96.695168,3390191
2020-05-20,115.611855,117.084129,115.296364,116.042068,97.571365,4017372
2020-05-21,115.669212,116.367111,113.738052,113.881454,95.754677,4184941
2020-05-22,114.120461,114.216064,112.418739,113.183556,95.167854,4373117
2020-05-26,115.965584,117.227531,115.688339,116.405357,97.876831,5720888
2020-05-27,118.489487,120.296364,118.040154,120.019119,100.915398,5990965
2020-05-28,121.290634,121.386230,118.757172,119.053535,100.103485,4095404
2020-05-29,118.231361,119.627151,116.864243,119.407265,100.400917,8294675
2020-06-01,119.158699,120.219887,118.575523,119.397705,100.392876,3003798
2020-06-02,120.143402,120.458893,119.177818,120.458893,101.285156,3115093
2020-06-03,121.558319,123.900574,121.414917,123.374763,103.736900,4097914
2020-06-04,122.160614,123.279160,121.434036,123.221794,103.608276,4042581
2020-06-05,128.001907,128.326965,125.956024,126.252388,106.156487,6163764
2020-06-08,126.453156,129.904404,126.453156,129.780121,109.122704,5617543
2020-06-09,127.648186,127.724663,125.258125,126.070747,106.003761,5641706
2020-06-10,126.338432,126.414917,124.091782,124.158699,104.396057,4952601
2020-06-11,120.487572,120.554497,112.657745,112.820267,94.862404,12304726
2020-06-12,115.917786,117.705544,114.034416,116.548759,97.997421,6506434
2020-06-15,113.948372,116.988525,113.087952,116.300194,97.788414,5385959
2020-06-16,119.502869,121.892921,117.743790,119.646271,100.601891,5864608
2020-06-17,120.296364,120.697899,117.973228,118.690247,99.798019,3302013
2020-06-18,117.590820,118.929253,116.950287,118.699806,99.806076,2997208
2020-06-19,120.621414,121.242828,116.873802,117.084129,98.447571,8471554
2020-06-22,116.749519,117.112808,115.229446,115.745697,97.322182,4993081
2020-06-23,116.644356,117.495216,113.986618,114.158699,95.987793,6937700
2020-06-24,113.116638,113.116638,110.783936,111.300194,93.584274,7061546
2020-06-25,111.625237,113.967499,110.994263,113.795410,95.682320,6412608
2020-06-26,113.059273,113.757172,111.147224,112.036331,94.203232,11244605
2020-06-29,112.791588,114.512428,112.208412,114.483749,96.261086,4350837
2020-06-30,113.948372,115.869980,113.766731,115.458893,97.081024,4099797
2020-07-01,114.980881,115.898659,113.164436,113.326958,95.288422,4869967
2020-07-02,114.426384,116.080307,114.015297,114.435944,96.220894,3919362
2020-07-06,115.917786,116.491394,114.206497,114.904396,96.614784,4231488
2020-07-07,113.766731,114.254303,112.170174,112.409180,94.516739,4474893
2020-07-08,112.868073,113.422562,111.357552,112.533463,94.621254,5431669
2020-07-09,112.810707,112.810707,110.133842,110.621414,93.013542,4982098
2020-07-10,110.420647,113.355644,110.219887,113.145317,95.135696,4482842
2020-07-13,114.512428,115.669212,113.441681,113.957932,95.818970,4864632
2020-07-14,113.403442,115.573616,112.734222,115.296364,96.944366,4742982
2020-07-15,117.017204,118.508606,116.778206,117.590820,98.873604,4679176
2020-07-16,117.284897,119.005737,116.787766,118.556404,99.685501,4530121
2020-07-17,118.919693,120.105164,117.782028,119.608032,100.569740,4167892
2020-07-20,120.525810,121.481834,119.636711,120.812622,101.582596,10384374
2020-07-21,125.391968,126.357552,120.267685,120.516251,101.333382,16063004
2020-07-22,120.363289,123.776291,120.267685,123.011475,103.431450,8572388
2020-07-23,123.422562,123.680687,121.558319,121.730400,102.354263,4414225
